t,x,y,yaw,u,w
32.801,0.1603340248421434,1.9685670753758766,-1.5879751126156143,0.06116041264604415,0.09655620500712894
32.851,0.16011190490197502,1.9486366690741614,-1.5866779490726814,0.6350388541883879,0.01432631350374931
32.901,0.15988851745332774,1.9170326019589043,-1.5857774584406072,0.6547027326288941,0.09011515733244105
32.951,0.15976953113751727,1.9028160648980152,-1.5845107926370843,0.04889968833793944,0.000911339685798833
33.001,0.15975211576860804,1.9005181084367635,-1.583676073686423,0.06850549300377916,0.09438413465419951
33.051,0.15960727145351433,1.882106011041839,-1.5825142020074359,0.5795075711960654,0.00798297109307406
33.101,0.15947381256574103,1.8532775910627286,-1.581762525968911,0.5991489604837461,0.08634102945741118
33.151,0.15939792623529556,1.8399512963740727,-1.5806641512645907,0.056231982472461896,-1.1710424296925856e-16
33.201,0.15938470455634993,1.8372865439578498,-1.57993558438572,0.07583868680831403,0.08858284746923431
33.251,0.15927977653327072,1.8194394144492638,-1.5786632186577543,0.5557920287961882,0.007643487458257376
33.301,0.15918695875918962,1.7917971823476726,-1.5777477700172862,0.5754020622152525,0.09726811931396462
33.351,0.15913726544202067,1.7787288369245935,-1.5766059807809072,0.06345179769991925,-3.318699481888053e-17
33.401,0.1591292194572454,1.7757031834183274,-1.5759171473547104,0.08305444209162137,0.08627262774225314
33.451,0.159155343298479,1.7423746980746415,-1.5494869672230362,1.0670098321887704,0.8583129045793274
33.501,0.16093578674479478,1.6892028350859396,-1.5072893173249966,1.0866495779357208,0.9545177744028037
33.551,0.16251092726262747,1.665611789478855,-1.473005466341734,0.07758627011561661,0.5569803289936713
33.601,0.16291678242055277,1.6617989023842958,-1.446121639898878,0.07758776068735641,0.6974705100323418
33.651,0.1675708741098414,1.6290098626020886,-1.4181295518567907,1.050916664406278,0.5535104507796653
33.701,0.17608997989026218,1.577305731751062,-1.391156039299812,1.0703078039248843,0.6486557355235946
33.751,0.18080578224962798,1.5523938386363627,-1.3642398564008138,0.1449258143686567,0.5128280699565035
33.801,0.18243963881696454,1.5454553686165788,-1.3393967636935198,0.15451999395968952,0.6387716998316101
33.851,0.1906363630381294,1.5122031194594554,-1.313122005200785,1.0429939431101376,0.5312811125465849
33.901,0.20384944680338726,1.461966264027458,-1.2860947586280063,1.0644605461410381,0.58349437390893
33.951,0.20995884331668274,1.4406221699693111,-1.2642183381636705,0.045866829393952244,0.3350615767348794
34.001,0.21080237323631576,1.438557226303724,-1.2484268880184781,0.05521029908044576,0.462695589701132
34.051,0.22094099558487953,1.4083485441400454,-1.2274814662241693,1.028755466724896,0.47918904801974577
34.101,0.23788234703415237,1.35998068878351,-1.2035220142816483,1.0538213316109974,0.4791890480197827
34.151,0.245609215648956,1.3395462794480213,-1.1862345695621856,0.04238671955397734,0.2418479592104649
34.201,0.24658102065970602,1.3377267727928144,-1.1751024643005141,0.05147118423619577,0.36989775878462444
34.251,0.25883144867331387,1.3084567175104747,-1.160016921096945,1.0265686362588495,0.3458810341636726
34.301,0.2789493700932837,1.2614454611505868,-1.1427228695611722,1.0523711176752772,0.34588103416370924
34.351,0.2879450677571808,1.2415313165519577,-1.1292804024259557,0.04399767153559558,0.20259575903626517
34.401,0.2890794377140153,1.2397077501650469,-1.1201074963420943,0.05285807593581382,0.33045200226602045
34.451,0.30266013870655817,1.2117079252537324,-1.1076764889577415,1.005105240379365,0.2834984367806683
34.501,0.3247543475419215,1.1667893271627041,-1.0935015672136443,1.0314008465968016,0.2834984367807046
34.551,0.3345977749856798,1.1476442011693422,-1.0830352247890604,0.04857237545250404,0.1391421512978497
